epoca,mse
457,0.012097
458,0.012028
459,0.011976
460,0.011904
461,0.011844
462,0.011784
463,0.011735
464,0.011671
465,0.011605
466,0.011557
467,0.011495
468,0.011436
469,0.011379
470,0.011325
471,0.011266
472,0.011204
473,0.011149
474,0.011095
475,0.011049
476,0.010987
477,0.010934
478,0.010886
479,0.010833
480,0.010780
481,0.010728
482,0.010676
483,0.010625
484,0.010569
485,0.010527
486,0.010469
487,0.010420
488,0.010371
489,0.010330
490,0.010282
491,0.010234
492,0.010183
493,0.010136
494,0.010089
495,0.010044
496,0.009991
497,0.009952
498,0.009900
499,0.009860
500,0.009817
